order_id,cid,date,time
1,47,2015-01-01,11:38:36
2,43,2015-01-01,11:57:40
3,59,2015-01-01,12:12:28
4,1,2015-01-01,12:16:31
5,54,2015-01-01,12:21:30
6,51,2015-01-01,12:29:36
7,36,2015-01-01,12:50:37
8,38,2015-01-01,12:51:37
9,1,2015-01-01,12:52:01
10,54,2015-01-01,13:00:15
11,12,2015-01-01,13:02:59
12,17,2015-01-01,13:04:41
13,10,2015-01-01,13:11:55
14,30,2015-01-01,13:14:19
15,40,2015-01-01,13:33:00
16,43,2015-01-01,13:34:07
17,11,2015-01-01,13:53:00
18,14,2015-01-01,13:57:08
19,59,2015-01-01,13:59:09
20,19,2015-01-01,14:03:08
21,44,2015-01-01,14:14:29
22,59,2015-01-01,14:16:26
23,36,2015-01-01,14:19:03
24,33,2015-01-01,14:23:01
25,23,2015-01-01,14:44:44
26,8,2015-01-01,14:54:26
27,25,2015-01-01,15:11:17
28,19,2015-01-01,15:35:46
29,36,2015-01-01,15:41:01
30,31,2015-01-01,15:41:25
31,12,2015-01-01,15:50:18
32,55,2015-01-01,15:53:18
33,3,2015-01-01,15:54:08
34,12,2015-01-01,16:21:21
35,60,2015-01-01,16:32:04
36,49,2015-01-01,16:54:09
37,26,2015-01-01,16:56:09
38,54,2015-01-01,17:03:00
39,56,2015-01-01,17:07:23
40,53,2015-01-01,17:14:36
41,55,2015-01-01,17:15:20
42,7,2015-01-01,17:28:09
43,18,2015-01-01,17:38:34
44,26,2015-01-01,17:54:20
45,21,2015-01-01,17:55:48
46,14,2015-01-01,18:25:51
47,57,2015-01-01,18:26:34
48,54,2015-01-01,18:26:42
49,26,2015-01-01,18:33:00
50,33,2015-01-01,18:41:01
51,21,2015-01-01,18:48:28
52,23,2015-01-01,18:53:02
53,57,2015-01-01,18:54:17
54,45,2015-01-01,19:01:45
55,34,2015-01-01,19:03:19
56,48,2015-01-01,19:07:00
57,59,2015-01-01,19:10:51
58,13,2015-01-01,19:30:40
59,11,2015-01-01,19:40:08
60,43,2015-01-01,20:05:16
61,61,2015-01-01,20:08:43
62,8,2015-01-01,20:50:16
63,15,2015-01-01,20:51:42
64,4,2015-01-01,20:52:08
65,13,2015-01-01,21:16:00
66,19,2015-01-01,21:47:55
67,43,2015-01-01,22:03:40
68,15,2015-01-01,22:07:32
69,10,2015-01-01,22:12:13
70,47,2015-01-02,11:38:51
71,40,2015-01-02,11:40:50
72,30,2015-01-02,11:57:25
73,47,2015-01-02,11:58:56
74,41,2015-01-02,12:01:12
75,21,2015-01-02,12:10:15
76,55,2015-01-02,12:21:17
77,31,2015-01-02,12:22:46
78,46,2015-01-02,12:28:14
79,50,2015-01-02,12:29:11
80,43,2015-01-02,12:35:38
81,4,2015-01-02,12:40:01
82,37,2015-01-02,12:45:51
83,38,2015-01-02,12:53:27
84,37,2015-01-02,13:13:41
85,38,2015-01-02,13:34:49
86,56,2015-01-02,13:40:31
87,30,2015-01-02,14:01:02
88,5,2015-01-02,14:10:08
89,19,2015-01-02,14:30:19
90,43,2015-01-02,15:08:48
91,6,2015-01-02,15:14:43
92,37,2015-01-02,15:17:02
93,58,2015-01-02,15:29:31
94,37,2015-01-02,16:17:16
95,12,2015-01-02,16:18:04
96,24,2015-01-02,16:21:20
97,2,2015-01-02,16:45:33
